log_yield,lat,log_subsidy,atr,mpdq,mph2oq,mtwq,sdmp,sdmt,ndvi,clay,sand,silt,nmtaf,htwm
2.966141733,30.875,6.422252909,30.10000038,2.900000095,4.833330154,26.83329964,0.89962101,6.624080181,0.595000029,7,78,15,12,33.09999847
2.610660163,32.125,5.575949502,31.79999924,2.466670036,4.400000095,26.70000076,0.836117029,7.212659836,0.730000019,18,64,18,12,33.20000076
2.766412847,32.125,6.55567727,32.40000153,2.366669893,4.333330154,26.43330002,0.803919971,7.138179779,0.620999992,7,72,20,12,33.20000076
2.862131379,32.125,5.798985386,31.89999962,2.299999952,4,26.43330002,0.71153897,6.920909882,0.616999984,6,81,13,12,33.5
2.716837723,32.625,5.649357254,32.5,2.433330059,4.266670227,26.13330078,0.742232978,7.180190086,0.699000001,8,73,18,12,33
2.806179974,32.875,5.69855549,32.90000153,2.299999952,3.766669989,26.13330078,0.617116988,7.231289864,0.702000022,7,72,20,12,33.40000153
2.791690649,31.875,6.437028463,32.40000153,2.366669893,4.433330059,26.43330002,0.893876016,7.04406023,0.628000021,6,79,14,12,33.29999924
2.767897616,30.875,6.672168171,30.5,2.533329964,4.766670227,26.86669922,0.99220401,6.452670097,0.630999982,7,72,20,12,33.5
2.819543936,31.375,6.521118723,31.79999924,2.366669893,4.400000095,26.36669922,0.927811027,6.769909859,0.568000019,6,82,12,12,33.29999924
2.691965103,32.125,5.640117551,31.89999962,2.299999952,4,26.43330002,0.71153897,6.920909882,0.638999999,6,82,12,12,33.5
2.733999287,32.375,5.339274507,32.29999924,2.233330011,3.833329916,26.5333004,0.701242983,7.049409866,0.685000002,6,82,12,12,33.59999847
2.709269961,31.625,6.475276804,32.5,2.299999952,4.166669846,26.26670074,0.847276986,6.985760212,0.566999972,6,79,14,12,33.29999924
2.771587481,32.625,5.665473107,33,2.200000048,3.866669893,26.29999924,0.658452988,7.331850052,0.716000021,7,78,15,12,33.40000153
2.880241776,31.125,5.677618814,32.40000153,2.366669893,4.766670227,26.70000076,0.972189009,6.68708992,0.671000004,3,92,5,12,34.09999847
2.875639937,32.875,5.562936096,32.90000153,2.299999952,3.766669989,26.13330078,0.617116988,7.231289864,0.702000022,7,72,20,12,33.40000153
2.863917377,31.625,6.043578782,30.70000076,2.266669989,4.566669941,26.73329926,0.947565019,6.664609909,0.67900002,4,88,8,12,33.40000153
2.741151599,31.875,6.443915113,32.29999924,2.266669989,4.033329964,26.4666996,0.808852017,6.940849781,0.633000016,6,82,12,12,33.59999847
2.836956737,31.625,6.846959835,32.5,2.299999952,4.166669846,26.26670074,0.847276986,6.985760212,0.589999974,6,79,14,12,33.29999924
2.944482672,33.125,6.075860708,33.79999924,2.766669989,4.633329868,26.26670074,0.856481016,7.939330101,0.742999971,10,54,36,11,32.90000153
3.043362278,33.875,7.080435882,34.70000076,2.466670036,4.366670132,26.86669922,0.864930987,8.393659592,0.522000015,54,22,23,11,33.59999847
2.931457871,33.875,6.476687178,34.20000076,2.799999952,4.699999809,25.89999962,0.822229028,8.076769829,0.688000023,20,15,65,11,32.5
3.000434077,33.375,6.487575279,33.79999924,2.766669989,4.633329868,26.26670074,0.856481016,7.939330101,0.734000027,11,40,48,11,32.90000153
2.830588669,33.875,5.982420948,33.5,2.833329916,4.666669846,26.13330078,0.800378978,7.906589985,0.676999986,34,17,49,11,32.70000076
3.014520539,34.125,7.240870009,34.79999924,2.5,4.266670227,26.86669922,0.798246026,8.618570328,0.518000007,50,19,30,11,33.59999847
2.966610987,32.375,6.206449684,32.70000076,2.866669893,4.599999905,26.93330002,0.821676016,7.496520042,0.676999986,13,17,70,12,33.5
3.053078443,33.125,6.917224571,34.09999847,2.700000048,4.633329868,26.73329926,0.892858982,8.032250404,0.740999997,13,19,69,11,33.5
3.056904851,33.125,7.024313435,34,2.5,4.533329964,26.9666996,0.919321001,8.069299698,0.488999993,50,19,30,11,33.59999847
2.999130541,32.875,6.590778547,32.90000153,2.666670084,4.666669846,27.0333004,0.929443002,7.654349804,0.629999995,20,43,37,12,33.59999847
2.947433722,31.625,5.787914369,30.5,2.900000095,4.800000191,26.9666996,0.88261801,6.966589928,0.781000018,13,17,70,12,33.20000076
3.051152522,33.625,7.215168706,34.79999924,2.633330107,4.566669941,26.60000038,0.867947996,8.314430237,0.536000013,50,19,30,11,33.40000153
2.888179494,33.875,5.712911378,33.29999924,2.833329916,4.666669846,26.16670036,0.772050023,7.808129787,0.754000008,15,39,45,11,32.79999924
2.84509804,33.875,6.219086819,33.5,2.833329916,4.666669846,26.13330078,0.800378978,7.906589985,0.676999986,34,17,49,11,32.70000076
3.003891166,33.375,6.265970006,33.79999924,2.766669989,4.633329868,26.26670074,0.856481016,7.939330101,0.742999971,11,40,48,11,32.90000153
2.951823035,33.125,5.857277603,33.09999847,2.833329916,4.733329773,26.20000076,0.838288009,7.833280087,0.700999975,12,46,42,11,32.59999847
2.994317153,34.375,6.850194923,35.40000153,2.733330011,4.699999809,25.83329964,0.88775301,8.302729607,0.70599997,13,18,69,9,32.79999924
3.01494035,34.375,6.716594917,35,2.666670084,4.466670036,26.43330002,0.825722992,8.470600128,0.524999976,33,15,51,11,33.40000153
3.060320029,32.875,6.884242547,32.90000153,2.666670084,4.666669846,27.0333004,0.929443002,7.654349804,0.629999995,20,43,37,12,33.59999847
3.051923916,33.625,7.108785396,34.70000076,2.466670036,4.366670132,26.86669922,0.864930987,8.393659592,0.522000015,33,15,51,11,33.59999847
3.051538391,33.875,7.060687153,34.79999924,2.633330107,4.566669941,26.60000038,0.867947996,8.314430237,0.632000029,50,19,30,11,33.40000153
3.033021445,34.625,6.34517899,34.70000076,2.799999952,4.633329868,26.23329926,0.818489015,8.401780128,0.671999991,13,22,66,11,33
2.945468585,34.625,6.804229554,34.59999847,2.733330011,4.5,26.70000076,0.80151403,8.522109985,0.523999989,54,22,23,11,33.40000153
2.979548375,32.375,6.351041432,32,2.666670084,4.599999905,27,0.904533982,7.32269001,0.713,13,17,70,12,33.5
3.046885191,33.375,7.311306859,34,2.5,4.533329964,26.9666996,0.919321001,8.069299698,0.518000007,54,22,23,11,33.59999847
2.964730921,33.625,6.229839971,34.20000076,2.799999952,4.699999809,25.89999962,0.822229028,8.076769829,0.734000027,13,20,67,11,32.5
2.978180517,34.125,6.152641142,35.40000153,2.733330011,4.699999809,25.83329964,0.88775301,8.302729607,0.735000014,11,40,48,9,32.79999924
3.012415375,32.875,7.164704551,33.40000153,2.733330011,4.733329773,26.89999962,0.938526988,7.745319843,0.707000017,13,17,70,12,33.5
2.969881644,36.125,6.567515231,36.79999924,2.866669893,4.199999809,24.79999924,0.606779993,8.836990356,0.74000001,13,17,70,9,32.09999847
2.967547976,35.375,5.410950916,35.20000076,2.866669893,4.466670036,25.29999924,0.730297029,8.569660187,0.731999993,12,35,53,9,32.09999847
2.973127854,35.875,7.1478137,35.59999847,2.733330011,4.199999809,25.73329926,0.668103993,8.80671978,0.569999993,13,17,70,9,32.59999847
2.923244019,36.125,6.790210053,36.70000076,2.733330011,4.066669941,25.73329926,0.590068996,8.983550072,0.610000014,13,17,70,9,32.90000153
2.913813852,35.125,6.749095374,35.09999847,2.833329916,4.400000095,25.76670074,0.731540978,8.6416502,0.736000001,13,18,69,9,32.5
2.944482672,35.125,5.653311908,34.40000153,3.066669941,4.466670036,24.29999924,0.645439029,8.186220169,0.773000002,15,23,62,9,31.20000076
2.976349979,35.875,6.823923485,35.40000153,2.799999952,4.300000191,25.23329926,0.659889996,8.735329628,0.639999986,12,35,53,9,31.89999962
2.915399835,35.125,5.185185054,35.59999847,3,4.5,24.20000076,0.670764029,8.370129585,0.765999973,13,17,70,9,31.5
2.942008053,35.125,6.344179398,35.20000076,2.866669893,4.466670036,25.29999924,0.730297029,8.569660187,0.763000011,10,56,34,9,32.09999847
2.903089987,35.125,5.46362427,35.90000153,2.900000095,4.566669941,24.86669922,0.730919003,8.491640091,0.759000003,13,41,47,9,32.09999847
2.971739591,35.625,7.21656039,35.59999847,2.733330011,4.199999809,25.73329926,0.668103993,8.80671978,0.584999979,13,18,69,9,32.59999847
