log_total_energy,Richness,habitat
9.531925658,46,forest
10.83034264,60,forest
10.12859536,60,forest
10.13422004,63,forest
9.56343956,53,forest
9.64951653,54,forest
10.06833531,37,forest
9.615832074,44,forest
8.787979259,34,forest
12.3233374,59,forest
9.450656684,42,forest
9.302855345,38,forest
9.938414514,58,forest
11.36919634,47,forest
10.22022423,55,forest
10.01814287,36,forest
9.773889235,51,forest
10.31195667,52,forest
10.09267491,49,forest
10.28440624,47,forest
10.1012489,57,forest
11.24638722,45,forest
8.954212476,27,forest
9.376607106,44,forest
9.865071858,54,forest
9.39626184,49,forest
10.0151696,34,forest
9.645122771,51,forest
10.07461353,52,forest
9.451562077,47,forest
10.15156134,61,forest
9.582318378,46,forest
10.23976734,52,forest
9.470780414,46,forest
9.966488347,51,forest
10.53546209,61,forest
10.18311181,46,forest
10.12927493,58,forest
10.01448071,52,forest
10.75880338,55,forest
10.04775326,56,forest
10.26500786,49,forest
9.301076609,50,forest
10.39885384,55,forest
10.25956943,61,forest
10.2738142,63,forest
9.794390974,43,forest
10.0809005,54,forest
10.03209863,54,forest
10.66209395,58,forest
10.73807589,71,forest
11.15568841,70,forest
10.13621182,53,forest
9.546122444,50,forest
9.385268571,58,forest
10.02410234,45,forest
9.187780781,49,forest
9.827257469,53,forest
9.663184277,56,forest
9.687242635,52,forest
9.151670177,48,forest
9.32064833,54,forest
10.50236754,54,forest
9.175446865,47,forest
9.664767357,54,forest
10.22977644,48,forest
10.03433061,59,forest
9.837254477,59,forest
9.922213698,51,forest
9.974884653,52,forest
10.16826455,62,forest
10.34397414,62,forest
10.53026191,63,forest
9.121763237,56,forest
10.35042075,51,forest
10.19581467,55,forest
9.542996335,52,forest
10.0285552,53,forest
9.153470575,50,forest
10.35966853,63,forest
10.10515613,62,forest
9.548873489,51,forest
10.06284419,63,forest
10.6837371,67,forest
10.1826561,59,forest
10.22520166,69,forest
9.973703822,68,forest
10.16172912,57,forest
9.320401084,38,forest
9.594156766,60,forest
9.263304064,55,forest
10.3303231,70,forest
9.67396673,60,forest
9.626682774,61,forest
10.42456669,65,forest
9.944841337,58,forest
9.646812301,54,forest
10.20754555,46,forest
10.08164886,62,forest
10.18592796,53,forest
10.27737026,66,forest
9.874395692,54,forest
9.993629175,59,forest
10.01959586,65,forest
9.241104226,40,forest
10.38650175,65,forest
10.0435515,55,forest
10.41807456,69,forest
9.583983725,62,forest
9.529940532,51,forest
10.08310897,67,forest
9.657343121,51,forest
9.658321091,50,forest
10.00119885,68,forest
10.49419556,59,forest
9.946196647,62,forest
9.628079689,56,forest
9.986781415,53,forest
9.411675665,39,forest
9.818108938,55,forest
10.71102348,59,forest
9.800890383,64,forest
10.02793685,69,forest
9.93780001,56,forest
9.82101297,58,forest
8.913559084,45,forest
9.677232079,64,forest
9.660720712,62,forest
9.69546861,55,forest
9.798101989,64,forest
9.672974914,65,forest
9.523225015,58,forest
9.193262913,59,forest
9.841510721,60,forest
9.877144665,60,forest
9.768485443,53,forest
9.429603952,51,forest
10.02118511,60,forest
9.577001844,67,forest
9.591578319,55,forest
9.718591847,59,forest
9.59203177,56,forest
9.506616733,61,forest
9.84071185,63,forest
9.785033218,58,forest
10.62500515,63,forest
9.309894407,63,forest
9.816835856,66,forest
9.596422087,58,forest
9.910756772,67,forest
9.89527699,62,forest
9.616387038,60,forest
8.892591751,48,forest
9.755769615,61,forest
10.04528567,70,forest
9.034128842,55,forest
9.303564175,47,forest
9.783717693,61,forest
10.10362856,69,forest
9.508295197,58,forest
10.06629772,58,forest
10.29152816,58,forest
9.615448497,55,forest
9.777446796,66,forest
10.01759957,79,forest
9.534362263,54,forest
10.62109157,82,forest
9.266772384,44,forest
10.11465987,58,forest
9.365507906,54,forest
9.955462967,74,forest
9.546581738,67,forest
