"Year","Named_Storms","Hurricanes","Major_Hurricanes","ACE","Notes"
1976,10,6,2,81,""
1977,6,5,1,25,""
1978,12,5,2,62,""
1979,9,5,2,91,""
1980,11,9,2,147,""
1981,12,7,3,93,""
1982,6,2,1,29,""
1983,4,3,1,17,""
1984,13,5,1,71,""
1985,11,7,3,88,""
1986,6,4,0,36,""
1987,7,3,1,34,""
1988,12,5,3,103,""
1989,11,7,2,135,""
1990,14,8,1,91,""
1991,8,4,2,34,""
1992,7,4,1,75,""
1993,8,4,1,39,""
1994,7,3,0,32,""
1995,19,11,5,227,""
1996,13,9,6,166,""
1997,8,3,1,40,""
1998,14,10,3,182,""
1999,12,8,5,177,""
2000,15,8,3,116,""
2001,15,9,4,106,""
2002,12,4,2,66,""
2003,16,7,3,175,""
2004,15,9,6,224,""
2005,28,15,7,248,""
2006,10,5,2,78,""
2007,15,6,2,72,""
2008,16,8,5,144,""
2009,9,3,2,51,""
2010,19,12,5,165,""
2011,19,7,4,126,""
2012,19,10,2,133,""
2013,14,2,0,36,""
2014,8,6,2,67,""
2015,11,4,2,59,""
2016,15,7,3,129,""
2017,17,10,6,226,""
2018,15,8,2,129,""
2019,18,6,3,130,""
2020,30,13,6,180,""
2021,21,7,4,146,""
2022,14,8,2,95,""
2023,20,7,3,139,""
2024,18,11,5,161.6,""
