species,height_in
Barred,22
Barred,28
Barred,22.5
Barred,66
Barred,0
Barred,0
Barred,0
Barred,25
Barred,35
Barred,10
Barred,10
Barred,10
Barred,15
Barred,54
Barred,23
Barred,14
Barred,18
Barred ,7
Barred ,35.5
Barred ,46
Barred ,49
Barred ,31.875
Barred ,5.5
Barred ,30
Barred ,94
Barred ,89
Barred ,54
Barred ,34
Barred ,75.5
Barred ,18
Barred ,19
Barred ,57
Barred ,175
Barred ,33
Crested,11
Crested,0
Crested,0
Crested,10
Crested,12
Crested,3
Crested,9
Crested,0
Crested,0
Crested,10
Crested,0
Crested,5
Crested,6
Crested,10.5
Crested,0
Crested,0
Crested,10
Crested,17
Crested,19
Crested,14
Crested,14
Crested,15
Crested,14
Crested,17
Crested,15
Crested,0
Crested,13
Crested,14
Crested,14
Crested,12
Crested,17
Crested,8
Crested,14
Crested,10
Crested,4
Crested,0
Crested,0
Crested,0
Crested,7
Crested,50
Crested,3
Crested,16
Crested,0
Crested,14
Crested,20
Crested,18
Crested,3
Crested,18
Crested,0
Crested,20
Crested,15
Crested,0
Crested,0
Crested ,97
Crested ,68
Crested ,108
Crested ,13.5
Crested ,22
Crested ,25
Crested ,9.5
Crested ,23
Crested ,39
Crested ,24
Crested ,20
Crested ,0
Crested ,47.5
Crested ,61.5
Crested ,59
Crested ,68.75
Crested ,53
Crested ,32
Crested ,10
Crested ,15
Crested ,9.5
Crested ,11
Crested ,69
Crested ,18
Crested ,13
Crested ,53
Crested ,16
Crested ,77
Crested ,125.5
Crested ,9.5
Crested ,5
Crested ,11
Crested ,18
Crested ,81
Crested ,20.5
Crested ,28
Crested ,0
Crested ,26
Crested ,14
Crested ,10
Crested ,0
Crested ,32
Crested ,0
Crested ,14
Crested ,0
Crested ,17
Crested ,0
Crested ,15.5
Crested ,31
Crested ,9
Crested ,12
Crested ,0
Crested ,63
Crested ,22
Crested ,52
Crested ,2
Crested ,18
Crested ,8.5
Crested ,10.5
Crested ,17
Crested ,3.25
Crested ,0
Crested ,0
Crested ,20
Crested  ,3
Crested  ,15
Crested  ,8
Crested  ,17
Crested  ,0
Crested  ,0
Crested  ,0
Crested  ,4
Crested  ,6
Crested  ,0
Crested  ,63
Crested  ,0
Crested  ,31.5
Crested  ,0
Crested  ,3.75
Crested  ,44.375
Crested  ,9.625
Crested  ,14.875
Crested  ,22.25
Crested  ,30.75
Crested  ,32.375
Crested  ,28.25
Crested  ,18.25
Crested  ,4
Crested  ,0
Crested  ,31.5
Crested  ,0
,
,
,
