lat,long,sdmp,mtwm,sdmt,nmtaf,ndvi,mtcm,mp,mpcm,mph2om,mpwm,htwm,mpdm,ltcm,mt,atr
35.375,-79.875,0.524765015,25.60000038,7.922689915,9,0.755999982,3.799999952,3.258330107,3.299999952,4,4,31.70000076,2.5,-2.299999952,15.19999981,34
33.375,-86.625,0.798103988,26.5,7.614799976,11,0.764999986,5.699999809,3.866669893,4.300000191,5.300000191,4.199999809,32.40000153,2.5,-0.200000003,16.7833004,32.59999847
32.125,-81.625,0.852225006,27.20000076,6.807750225,12,0.663999975,8.600000381,3.241669893,3.200000048,4.599999905,4.599999905,33.29999924,2,2.099999905,18.5,31.20000076
35.625,-84.625,0.561586022,24.60000038,8.242059708,9,0.70599997,2,3.808330059,4,4.699999809,4.300000191,30.70000076,2.700000048,-3.400000095,13.9666996,34.09999847
34.875,-85.125,0.707268,24.89999962,7.999810219,9,0.72299999,2.900000095,3.924999952,4.300000191,5.300000191,4.199999809,30.70000076,2.700000048,-2.700000048,14.63329983,33.40000153
29.875,-82.875,1.529189944,27.5,5.720459938,12,0.623000026,12.19999981,3.825000048,3.200000048,6.300000191,6,33.09999847,1.700000048,5.900000095,20.60000038,27.20000076
32.375,-95.125,0.609706998,27.79999924,7.802740097,12,0.711000025,6.400000095,2.991669893,2.5,4,2.099999905,34.29999924,1.799999952,0.200000003,17.85000038,34.09999847
36.625,-80.625,0.341120988,21.60000038,7.992619991,8,0.758000016,-0.300000012,3.099999905,2.599999905,3.599999905,3.599999905,28,2.599999905,-6.300000191,11.17500019,34.29999924
34.125,-79.125,0.85187,26.70000076,7.472839832,11,0.66900003,6.400000095,3.325000048,3.099999905,4.900000095,4.900000095,32.59999847,2.200000048,-0.100000001,17.01670074,32.70000076
35.875,-77.375,0.654298007,25.60000038,7.854519844,9,0.616999984,4.199999809,3.358330011,3.400000095,4.5,4.300000191,31.60000038,2.400000095,-2.099999905,15.29170036,33.70000076
31.375,-91.625,0.662639022,27.89999962,6.913209915,12,0.625999987,9,4.25,4.599999905,5.5,3.900000095,33.59999847,3.299999952,3.400000095,19.2166996,30.20000076
29.875,-95.375,0.719006002,28.29999924,6.491129875,12,0.488000005,10.69999981,3.166670084,2.700000048,4.5,3,33.09999847,2.200000048,5.599999905,20.32500076,27.5
35.375,-81.375,0.334392011,26.10000038,7.909540176,10,0.681999981,4.400000095,3.25,3.200000048,3.900000095,3.400000095,31.79999924,2.599999905,-1.299999952,15.69169998,33.09999847
27.375,-80.875,1.793079972,28,4.046430111,12,0.606000006,17.29999924,3.466670036,1.600000024,6,5.400000095,32.70000076,1.600000024,11.5,23.14170074,21.20000076
32.875,-93.375,0.471859992,28,7.735219955,12,0.782000005,6.699999809,3.458329916,3.400000095,4,3.200000048,33.90000153,2.5,0.899999976,18.00830078,33
35.375,-85.375,0.622798979,24.79999924,8.153360367,9,0.792999983,2.5,3.866669893,4.099999905,5,4.099999905,30.70000076,2.799999952,-2.799999952,14.35000038,33.5
32.875,-94.125,0.51779002,28,7.814260006,12,0.730000019,6.400000095,3.258330107,3,3.900000095,2.599999905,34.09999847,2.099999905,0.400000006,17.85829926,33.70000076
33.625,-84.875,0.690190971,25.5,7.53346014,11,0.763000011,4.800000191,3.700000048,4.199999809,5,4,31.29999924,2.599999905,-1,15.92500019,32.29999924
26.375,-81.625,2.698980093,28.29999924,3.806649923,12,0.578999996,18.29999924,3.591670036,1.399999976,8,7.199999809,32.59999847,1,13,23.81669998,19.60000038
34.875,-93.125,0.613978982,27.10000038,8.336009979,10,0.768999994,4,3.466670036,2.400000095,4.5,3.099999905,33.59999847,2.400000095,-2,16.29999924,35.59999847
34.625,-94.375,0.802788973,26.39999962,8.467419624,9,0.75,3,3.508330107,2,5,3.5,32.79999924,2,-3.400000095,15.39169979,36.20000076
25.375,-80.625,2.429909945,28.29999924,3.189140081,12,0.39199999,19.89999962,3.691669941,1.399999976,7.800000191,6.300000191,32,1.200000048,15.69999981,24.58329964,16.29999924
30.875,-93.625,0.501134992,28,6.914810181,12,0.688000023,9.100000381,3.775000095,3.599999905,4.5,3.900000095,33.5,3,3.599999905,19.29999924,29.89999962
34.875,-82.125,0.384846002,25.89999962,7.704440117,11,0.677999973,4.800000191,3.491669893,3.5,4.400000095,3.700000048,31.70000076,3.099999905,-1.100000024,15.82499981,32.79999924
