,id,age,sex,borough,sci_lit
1,1,18-22,Female,Staten Island,0.875
2,8,18-22,Male,Brooklyn,0.875
3,9,23-40,Female,Brooklyn,0.5
4,11,23-40,Male,Staten Island,0.5
5,12,18-22,Male,Brooklyn,0.875
6,15,18-22,Male,Staten Island,0.875
7,16,18-22,Female,Brooklyn,0.875
8,18,18-22,Male,Staten Island,0
9,20,18-22,Female,Staten Island,0.5
10,21,18-22,Male,Staten Island,0.25
11,23,18-22,Female,Staten Island,0.875
12,24,18-22,Male,Brooklyn,0.5
13,27,23-40,Female,Staten Island,0.375
14,28,23-40,Female,Staten Island,0.875
15,29,18-22,Male,Staten Island,0.625
16,31,18-22,Male,Staten Island,0.75
17,32,18-22,Male,Staten Island,0.375
18,35,18-22,Female,Queens,0.875
19,36,18-22,Female,Staten Island,0.875
20,37,18-22,Male,Staten Island,0.875
21,38,18-22,Female,Staten Island,0.75
22,39,18-22,Male,Staten Island,0.375
23,41,18-22,Female,Staten Island,0.5
24,43,18-22,Female,Brooklyn,0.5
25,45,18-22,Female,Staten Island,0.875
26,46,18-22,Male,Staten Island,0.625
27,47,18-22,Female,Brooklyn,0.875
28,48,23-40,Female,Staten Island,0.75
29,49,18-22,Female,Staten Island,0.75
30,50,23-40,Female,Staten Island,0.25
31,51,23-40,Male,I do not reside in any of the boroughs,0.875
32,53,18-22,Female,Brooklyn,0.75
33,55,18-22,Male,Staten Island,0.5
34,57,18-22,Male,Staten Island,0.875
35,58,18-22,Female,Brooklyn,0.875
36,59,23-40,Female,Staten Island,0.875
37,60,18-22,Female,Staten Island,0.75
38,61,18-22,Male,Staten Island,0.75
39,62,23-40,Male,Staten Island,0.875
40,63,18-22,Male,Brooklyn,0.875
41,64,18-22,Female,Bronx,0.75
42,66,18-22,Male,Staten Island,0.625
43,67,18-22,Male,Staten Island,0.75
44,68,18-22,Female,Brooklyn,0.375
45,69,18-22,Female,Staten Island,0.625
46,70,18-22,Female,Brooklyn,0.875
47,71,18-22,Female,Staten Island,0.5
48,72,18-22,Female,Brooklyn,0.875
49,73,18-22,Female,Brooklyn,0.625
50,75,18-22,Male,Staten Island,0.75
51,76,18-22,Female,Staten Island,0.75
52,77,18-22,Female,Brooklyn,0.625
53,78,18-22,Male,Staten Island,0.125
54,80,18-22,Male,Staten Island,0.625
55,81,23-40,Male,Staten Island,0.125
56,82,18-22,Male,Brooklyn,0.125
57,83,18-22,Male,Brooklyn,0.875
58,85,18-22,Female,Staten Island,0.75
59,87,18-22,Male,Brooklyn,0.5
60,88,18-22,Male,Brooklyn,0.5
61,89,23-40,Male,Bronx,0.875
62,90,18-22,Male,Staten Island,0.375
63,91,18-22,Male,Staten Island,0.75
64,92,18-22,Female,Staten Island,0.875
65,93,18-22,Female,Staten Island,0.75
66,94,18-22,Transgender,Staten Island,0.625
67,95,18-22,Male,Staten Island,0.5
68,97,18-22,Female,Staten Island,0.625
69,99,18-22,Female,Staten Island,0.5
70,100,18-22,Male,Brooklyn,0.75
71,102,18-22,Female,Brooklyn,0.875
72,104,23-40,Female,Staten Island,0.625
73,105,18-22,Female,Staten Island,0.625
74,106,18-22,Female,Staten Island,0.625
75,107,18-22,Male,Staten Island,0.375
76,109,18-22,Male,Staten Island,0.875
77,110,18-22,Female,Brooklyn,0.75
78,111,18-22,Male,Staten Island,0.625
79,112,18-22,Female,Staten Island,0.875
80,113,18-22,Female,Staten Island,0.75
81,114,18-22,Female,Staten Island,0.875
82,115,18-22,Female,Staten Island,0.625
83,116,23-40,Female,Brooklyn,0.75
84,117,18-22,Male,Staten Island,0.75
85,118,18-22,Female,Brooklyn,0.875
86,119,23-40,Female,Staten Island,0.625
87,120,23-40,Female,Staten Island,0.875
88,121,18-22,Male,Staten Island,0.875
89,122,18-22,Female,Staten Island,0.875
90,123,18-22,Female,Brooklyn,0.75
