eyespan_mm,Food
2.15,corn
2.14,corn
2.13,corn
2.13,corn
2.12,corn
2.11,corn
2.1,corn
2.08,corn
2.08,corn
2.08,corn
2.4,corn
2.05,corn
2.03,corn
2.02,corn
2.01,corn
2,corn
1.99,corn
1.96,corn
1.95,corn
1.93,corn
1.89,corn
2.12,cotton
2.07,cotton
2.01,cotton
1.93,cotton
1.77,cotton
1.68,cotton
1.64,cotton
1.61,cotton
1.59,cotton
1.58,cotton
1.56,cotton
1.55,cotton
1.54,cotton
1.49,cotton
1.45,cotton
1.43,cotton
1.39,cotton
1.34,cotton
1.33,cotton
1.29,cotton
1.26,cotton
1.24,cotton
1.11,cotton
1.05,cotton
