Total.Length..mm.,Growth,Mass,PredSize,PredNumber,Container
38.9,18.5,8.38,Large,single,AB
38.4,22.1,8.8,Large,single,AB
29.15,16.7,6.33,Large,single,AB
34.65,16.35,8.39,Large,single,AB
34.25,20.9,7.26,Large,single,AB
43.4,21.6,9.18,Large,single,AB
32.7,19.6,7.55,Large,single,AH
34.3,17.05,8.01,Large,single,AH
33.25,19.55,8.18,Large,single,AH
36.75,19.85,8.13,Large,single,AH
32.4,20.15,6.88,Large,single,AH
30.35,18.75,6.14,Large,single,AH
40.35,23.2,7.39,Large,single,AH
29.2,14.55,5.08,Large,single,AH
39.15,19.5,9.19,Large,single,AH
33.1,18.15,7.67,Large,single,AH
32.55,17.25,7.98,Large,single,E
32.45,22.15,6.8,Large,single,E
37.8,19.15,7.67,Large,single,E
35.6,17.85,4.95,Large,single,E
38.05,21.4,8.82,Large,single,E
39,23.6,9.74,Large,single,E
32.95,17.35,7.14,Large,single,E
34.4,18.35,8.13,Large,single,E
35.15,25.4,6.98,Large,single,AC
36.05,23.05,7.26,Large,single,AC
35.15,26.55,8.83,Large,single,AC
30.85,18.45,8.52,Large,single,AC
30.8,16.05,6.44,Large,single,AC
32.05,18.7,8.45,Large,single,AC
31.85,17.45,6.72,Large,single,AC
34,17.45,7.79,Large,single,AC
33.4,28.8,7.3,Large,single,AC
29.85,14.35,6.39,Large,triple,B
36.05,19.25,7.6,Large,triple,B
33.1,20.9,7.68,Large,triple,B
38.5,21.55,8.62,Large,triple,B
29.75,19.55,6.85,Large,triple,B
31.15,18.05,8.49,Large,triple,B
36.45,21.6,8.67,Large,triple,B
32.55,19.7,6.55,Large,triple,B
33.1,16.2,7.04,Large,triple,B
32.65,17.3,6.36,Large,triple,B
34.15,19.6,7.73,Large,triple,A
33.2,18.2,6.78,Large,triple,A
31.95,17.2,6.73,Large,triple,A
30.8,15.35,5.88,Large,triple,A
36.95,17.85,10.39,Large,triple,A
29.8,16.6,5.51,Large,triple,A
35.3,21.9,7.49,Large,triple,A
30.1,19.15,4.89,Large,triple,A
34.05,18.65,7.65,Large,triple,A
34.1,16.25,7.08,Large,triple,A
27.75,17.7,4.74,Large,triple,AD
37.1,19.6,8.37,Large,triple,AD
34.95,19.5,6.74,Large,triple,AD
36.05,24.9,8.63,Large,triple,AD
31.8,18.85,5.29,Large,triple,AD
36.85,18.25,7.94,Large,triple,AD
29.45,13.6,5.28,Large,triple,AD
32.7,16.35,6.84,Large,triple,AD
37.65,22.3,9.03,Large,triple,AD
30.1,21.6,5.44,Large,triple,AF
27.2,13,2.9,Large,triple,AF
30.5,14.9,4.44,Large,triple,AF
32.3,20.4,7.15,Large,triple,AF
36.6,19.65,9.77,Large,triple,AF
36.85,20.3,8.14,Large,triple,AF
34.5,18.65,8.53,Large,triple,AF
33.6,18.15,8.72,Large,triple,AF
32.35,19.05,8.37,Large,triple,AF
30.8,20.1,5.17,Large,triple,AF
37.05,20.2,9.2,Small,single,AE
34.95,23.3,9.29,Small,single,AE
34.8,24.1,8.87,Small,single,AE
35.45,22.7,7.43,Small,single,AE
34.1,18.75,8.17,Small,single,AE
34.4,21.05,8.68,Small,single,AE
31.35,16.35,8.23,Small,single,AE
31.85,18.1,7.14,Small,single,AE
29.2,20.5,6,Small,single,B0
34.9,21.1,9,Small,single,B0
29.55,15.05,6.36,Small,single,B0
34.05,18.2,9.27,Small,single,B0
34.75,18.95,8.36,Small,single,B0
33.3,23.4,9.2,Small,single,B0
32.4,17.4,8.42,Small,single,B0
20.6,4.65,2.26,Small,single,D
34.8,18.25,8.34,Small,single,D
35.2,27.45,8.6,Small,single,D
30.35,22.7,7.1,Small,single,D
17.55,4.7,1.06,Small,single,D
34.65,16.2,8.89,Small,single,D
38.7,22.75,10.44,Small,single,D
35.4,17.5,8.39,Small,single,D
34.85,22,8.15,Small,single,D
37.25,19.85,8.06,Small,single,I
35.5,22.3,11.24,Small,single,I
34.75,18.55,8.77,Small,single,I
35.65,19.1,8.24,Small,single,I
32.95,15.2,6.54,Small,single,I
33.5,21.65,6.58,Small,single,I
36.3,21.65,8.96,Small,single,I
28.45,16.7,6.04,Small,single,I
17.75,1.6,1.22,Small,triple,C
32.95,17.3,7.16,Small,triple,C
33.05,21.15,7.42,Small,triple,C
33.85,17.7,9.3,Small,triple,C
33.6,21.65,7.69,Small,triple,C
38.55,23.35,9.44,Small,triple,C
31,15.5,6.25,Small,triple,G
37.3,20.6,8.12,Small,triple,G
29.3,12.9,5.35,Small,triple,G
36.9,11.5,8.21,Small,triple,G
30.1,18.1,5.26,Small,triple,G
34,20.4,8.45,Small,triple,AG
32.3,17.5,6.16,Small,triple,AG
31.7,14.7,7.27,Small,triple,AG
30.9,14.9,7.3,Small,triple,AG
31.4,14.3,6.09,Small,triple,AG
29.45,15.85,5.66,Small,triple,AA
30.55,18.75,5.53,Small,triple,AA
32.55,14.2,6.31,Small,triple,AA
32.35,19.4,7.27,Small,triple,AA
31.75,16.6,6.85,Small,triple,AA
35.85,20.15,7.08,Small,triple,AA
33.75,23.2,7.37,Small,triple,AA
31.5,19.75,5.72,Small,triple,AA
