size,location
8,A
10,A
10,A
10,A
11,A
11,A
11,A
11,A
11,A
12,A
12,A
12,A
12,A
12,A
12,A
12,A
12,A
12,A
12,A
12,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
13,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
14,A
15,A
15,A
15,A
15,A
15,A
15,A
15,A
15,A
15,A
15,A
15,A
15,A
15,A
15,A
15,A
16,A
16,A
16,A
16,A
16,A
16,A
16,A
17,A
17,A
17,A
17,A
17,A
17,A
17,A
17,A
17,A
18,A
18,A
19,A
19,A
19,A
21,A
21,A
22,A
10,B
10,B
11,B
11,B
11,B
11,B
11,B
11,B
11,B
12,B
12,B
12,B
12,B
12,B
12,B
12,B
12,B
12,B
12,B
12,B
12,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
13,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
14,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
16,B
17,B
17,B
17,B
17,B
17,B
17,B
17,B
17,B
18,B
18,B
18,B
18,B
18,B
18,B
19,B
19,B
19,B
19,B
20,B
20,B
22,B
22,B
